ฑ๊สถ,x,y,thickness
159.000000,1549.109483,-15.855022,0.173015
160.000000,1548.644036,-15.898276,0.086507
161.000000,1548.178588,-15.941530,0.173015
162.000000,1547.713141,-15.941530,0.173015
163.000000,1547.247694,-15.941530,0.173015
164.000000,1546.782247,-15.941530,0.173015
165.000000,1546.316799,-15.984783,0.086507
166.000000,1545.851352,-15.984783,0.086507
167.000000,1545.385905,-16.028037,0.173015
168.000000,1544.920457,-16.028037,0.173015
169.000000,1544.455010,-16.028037,0.173015
170.000000,1543.989563,-16.071291,0.086507
171.000000,1543.524116,-16.114544,0.173015
172.000000,1543.058668,-16.114544,0.173015
173.000000,1542.593221,-16.114544,0.173015
174.000000,1542.127774,-16.157798,0.086507
175.000000,1541.662326,-16.201052,0.173015
176.000000,1541.196879,-16.201052,0.173015
177.000000,1540.731432,-16.244306,0.086507
178.000000,1540.265985,-16.244306,0.086507
179.000000,1539.800537,-16.287559,0.173015
180.000000,1539.335090,-16.287559,0.173015
181.000000,1538.869643,-16.287559,0.173015
182.000000,1538.404195,-16.330813,0.086507
183.000000,1537.938748,-16.374067,0.173015
184.000000,1537.473301,-16.374067,0.173015
185.000000,1537.007853,-16.417321,0.259522
186.000000,1536.542406,-16.460574,0.173015
187.000000,1536.076959,-16.460574,0.173015
188.000000,1535.611512,-16.503828,0.086507
189.000000,1535.146064,-16.547082,0.173015
190.000000,1534.680617,-16.547082,0.173015
191.000000,1534.215170,-16.633589,0.173015
192.000000,1533.749722,-16.633589,0.173015
193.000000,1533.284275,-16.720097,0.173015
194.000000,1532.818828,-16.720097,0.173015
195.000000,1532.353381,-16.720097,0.173015
196.000000,1531.887933,-16.806604,0.173015
197.000000,1531.422486,-16.806604,0.173015
198.000000,1530.957039,-16.849858,0.086507
199.000000,1530.491591,-16.893111,0.173015
200.000000,1530.026144,-16.979619,0.173015
201.000000,1529.560697,-16.979619,0.173015
202.000000,1529.095250,-16.979619,0.173015
203.000000,1528.629802,-17.066126,0.173015
204.000000,1528.164355,-17.109380,0.259522
205.000000,1527.698908,-17.152634,0.173015
206.000000,1527.233460,-17.152634,0.173015
207.000000,1526.768013,-17.239141,0.173015
208.000000,1526.302566,-17.239141,0.173015
209.000000,1525.837119,-17.325649,0.173015
210.000000,1525.371671,-17.325649,0.173015
211.000000,1524.906224,-17.412156,0.173015
212.000000,1524.440777,-17.455410,0.259522
213.000000,1523.975329,-17.498663,0.173015
214.000000,1523.509882,-17.585171,0.173015
215.000000,1523.044435,-17.585171,0.173015
216.000000,1522.578988,-17.671678,0.173015
217.000000,1522.113540,-17.714932,0.086507
218.000000,1521.648093,-17.758186,0.173015
219.000000,1521.182646,-17.844693,0.173015
220.000000,1520.717198,-17.887947,0.259522
221.000000,1520.251751,-17.931201,0.173015
222.000000,1519.786304,-18.017708,0.173015
223.000000,1519.320857,-18.060962,0.086507
224.000000,1518.855409,-18.104216,0.173015
225.000000,1518.389962,-18.147469,0.259522
226.000000,1517.924515,-18.233977,0.259522
227.000000,1517.459067,-18.277230,0.173015
228.000000,1516.993620,-18.363738,0.173015
229.000000,1516.528173,-18.450245,0.173015
230.000000,1516.062726,-18.493499,0.259522
231.000000,1515.597278,-18.493499,0.259522
232.000000,1515.131831,-18.580006,0.259522
233.000000,1514.666384,-18.623260,0.346030
234.000000,1514.200936,-18.709768,0.346030
235.000000,1513.735489,-18.753021,0.259522
236.000000,1513.270042,-18.882782,0.173015
237.000000,1512.804595,-18.969290,0.173015
238.000000,1512.339147,-19.012544,0.086507
239.000000,1511.873700,-19.099051,0.259522
240.000000,1511.408253,-19.142305,0.173015
241.000000,1510.942805,-19.272066,0.259522
242.000000,1510.477358,-19.315320,0.173015
243.000000,1510.011911,-19.401827,0.173015
244.000000,1509.546464,-19.488334,0.173015
245.000000,1509.081016,-19.531588,0.259522
246.000000,1508.615569,-19.618096,0.259522
247.000000,1508.150122,-19.747857,0.173015
248.000000,1507.684674,-19.834364,0.173015
249.000000,1507.219227,-19.877618,0.086507
250.000000,1506.753780,-19.920872,0.173015
251.000000,1506.288332,-20.007379,0.173015
252.000000,1505.822885,-20.093887,0.173015
253.000000,1505.357438,-20.137140,0.259522
254.000000,1504.891991,-20.223648,0.259522
255.000000,1504.426543,-20.353409,0.173015
256.000000,1503.961096,-20.483170,0.259522
257.000000,1503.495649,-20.526424,0.173015
258.000000,1503.030201,-20.612931,0.173015
259.000000,1502.564754,-20.699439,0.173015
260.000000,1502.099307,-20.829200,0.259522
261.000000,1501.633860,-20.958961,0.173015
262.000000,1501.168412,-21.045468,0.173015
263.000000,1500.702965,-21.131976,0.173015
264.000000,1500.237518,-21.218483,0.173015
265.000000,1499.772070,-21.304991,0.173015
266.000000,1499.306623,-21.391498,0.173015
267.000000,1498.841176,-21.478005,0.173015
268.000000,1498.375729,-21.564513,0.173015
269.000000,1497.910281,-21.694274,0.259522
270.000000,1497.444834,-21.780782,0.259522
271.000000,1496.979387,-21.910543,0.173015
272.000000,1496.513939,-21.997050,0.173015
273.000000,1496.048492,-22.083558,0.173015
274.000000,1495.583045,-22.170065,0.173015
275.000000,1495.117598,-22.256572,0.173015
276.000000,1494.652150,-22.386334,0.259522
277.000000,1494.186703,-22.516095,0.173015
278.000000,1493.721256,-22.602602,0.173015
279.000000,1493.255808,-22.732363,0.259522
280.000000,1492.790361,-22.818871,0.259522
281.000000,1492.324914,-22.948632,0.173015
282.000000,1491.859467,-23.035139,0.173015
283.000000,1491.394019,-23.164900,0.259522
284.000000,1490.928572,-23.294662,0.173015
285.000000,1490.463125,-23.424423,0.259522
286.000000,1489.997677,-23.510930,0.259522
287.000000,1489.532230,-23.640691,0.173015
288.000000,1489.066783,-23.727199,0.173015
289.000000,1488.601336,-23.900214,0.173015
290.000000,1488.135888,-24.029975,0.259522
291.000000,1487.670441,-24.159736,0.173015
292.000000,1487.204994,-24.289497,0.259522
293.000000,1486.739546,-24.376005,0.259522
294.000000,1486.274099,-24.505766,0.173015
295.000000,1485.808652,-24.635527,0.259522
296.000000,1485.343205,-24.765288,0.173015
297.000000,1484.877757,-24.895049,0.259522
298.000000,1484.412310,-24.895049,0.173015
299.000000,1483.946863,-24.895049,0.086507
